id;gender;yearofstudy;outdegree;indegree;popular;averageChar;dayactive;send.day34th.friends;send.friends
1;1;4;33;25;58;110.210784313725;1;61;34
2;1;1;0;5;5;1;4;4;1
3;2;3;175;41;216;128.385915492958;1;90;176
4;2;4;0;1;1;1;5;5;1
5;1;5;1;0;1;33.5;6;6;2
6;1;1;45;49;94;111.452991452991;6;28;46
7;1;2;0;5;5;1;6;6;1
8;2;3;28;62;90;92.75;6;77;29
9;1;1;237;53;290;84.8745421245421;6;47;238
10;1;2;1;2;3;11.5;6;6;2
11;2;2;0;3;3;1;6;6;1
12;1;3;141;33;174;40.5674044265594;6;43;142
13;2;2;0;3;3;1;6;6;1
14;1;1;0;3;3;1;6;6;1
15;2;4;0;4;4;1;2;2;1
16;1;1;0;1;1;1;6;6;1
17;1;2;0;2;2;1;6;6;1
18;1;6;0;2;2;1;6;6;1
19;1;6;105;27;132;36.0111111111111;6;37;106
20;2;2;2;6;8;54.1666666666667;6;7;3
21;1;2;0;2;2;1;7;7;1
22;1;1;0;3;3;1;6;6;1
23;1;3;0;2;2;1;6;6;1
24;1;3;0;1;1;1;7;7;1
25;2;4;1;2;3;14.5;7;7;2
26;1;6;15;18;33;86.8703703703704;6;41;16
27;2;4;48;40;88;330.565693430657;6;85;49
28;1;3;0;1;1;1;7;7;1
29;1;3;18;13;31;164.142857142857;7;42;19
30;2;1;13;15;28;111.432432432432;7;35;14
31;1;1;0;1;1;1;7;7;1
32;1;3;182;137;319;61.7445414847162;6;59;183
33;2;1;0;3;3;1;7;7;1
34;1;3;37;40;77;182.689655172414;6;24;38
35;2;2;0;2;2;1;7;7;1
36;2;4;86;16;102;126.585820895522;6;24;87
37;1;4;0;1;1;1;7;7;1
38;1;5;37;6;43;32.5479876160991;6;19;38
39;2;2;0;7;7;1;8;8;1
40;2;1;0;2;2;1;8;8;1
41;1;1;178;55;233;60.7099644128114;6;28;179
42;1;4;160;120;280;91.507204610951;8;46;161
43;2;2;1;3;4;12.5;8;8;2
44;2;4;67;25;92;128.39880952381;6;39;68
45;1;4;0;1;1;1;8;8;1
46;1;3;1;4;5;18.5;8;8;2
47;1;3;5;5;10;52.875;8;24;6
48;1;2;35;48;83;106.880434782609;7;37;36
49;2;3;0;1;1;1;8;8;1
50;1;1;34;45;79;101.027397260274;8;41;35
51;1;6;43;33;76;45.259842519685;8;19;44
52;2;2;31;46;77;64.4576271186441;8;47;32
53;1;1;66;10;76;62.1754385964912;8;44;67
54;1;1;2;3;5;226.333333333333;8;21;3
55;1;4;0;2;2;1;8;8;1
56;2;4;12;14;26;50.5333333333333;8;10;13
57;1;5;6;4;10;167.176470588235;8;23;7
58;2;2;4;28;32;36.4;8;13;5
59;2;1;0;18;18;1;8;8;1
60;1;1;15;20;35;78.6904761904762;6;40;16
61;2;4;7;22;29;159.555555555556;8;27;8
62;1;1;41;36;77;42.247191011236;8;20;42
63;2;4;67;71;138;88.0363636363636;6;39;68
64;2;4;0;5;5;1;8;8;1
65;2;4;0;5;5;1;8;8;1
66;1;3;1;4;5;79.5;8;8;2
67;1;3;146;62;208;43.1694444444444;8;54;147
68;1;4;31;32;63;82.9084507042254;7;28;32
69;2;4;39;14;53;25.3728813559322;8;22;40
70;2;4;14;10;24;108.37037037037;8;37;15
71;1;6;2;1;3;2.5;8;8;3
72;2;2;59;75;134;156.439130434783;7;35;60
73;1;4;28;31;59;172.690721649485;8;28;29
74;1;1;43;42;85;113.359550561798;8;23;44
75;1;4;5;11;16;89.4545454545455;6;18;6
76;2;5;2;5;7;71.75;8;18;3
77;1;4;0;1;1;1;8;8;1
78;2;4;1;8;9;15;8;8;2
79;1;2;11;9;20;45;8;13;12
80;1;2;10;14;24;49.1875;8;38;11
81;2;3;3;12;15;440.833333333333;8;43;4
82;2;5;0;3;3;1;7;7;1
83;1;4;12;2;14;324.8125;8;25;13
84;1;4;15;15;30;47.7777777777778;8;60;16
85;1;1;10;21;31;66.0588235294118;8;50;11
86;2;3;1;10;11;36;6;6;2
87;1;3;11;8;19;60.9375;8;34;12
88;1;3;12;33;45;166.162162162162;7;16;13
89;1;4;0;2;2;1;9;9;1
90;1;3;17;27;44;61.9642857142857;9;42;18
91;1;3;4;1;5;71.8571428571429;9;9;5
92;1;3;0;3;3;1;7;7;1
93;1;6;5;5;10;100;8;173;6
94;2;5;5;5;10;57.3333333333333;9;26;6
95;1;1;80;52;132;280.253623188406;6;107;81
96;2;1;15;8;23;61.9705882352941;9;11;16
97;2;2;39;72;111;62.8253012048193;9;26;40
98;1;1;2;9;11;43;9;9;3
99;1;3;9;14;23;78.3333333333333;9;21;10
100;1;4;1;3;4;20.5;9;9;2
101;2;4;23;43;66;110.385714285714;9;31;24
102;1;1;11;21;32;60.5555555555556;9;31;12
103;1;2;233;106;339;60.8716216216216;8;33;234
104;1;1;5;5;10;62.75;8;27;6
105;1;2;219;90;309;140.406113537118;9;50;220
106;1;5;1;2;3;23;8;8;2
107;1;2;0;1;1;1;9;9;1
108;2;3;0;3;3;1;9;9;1
109;2;4;7;24;31;328;9;30;8
110;1;4;1;2;3;50.5;7;7;2
111;2;4;1;2;3;66;7;7;2
112;1;4;0;4;4;1;6;6;1
113;1;1;0;1;1;1;9;9;1
114;2;3;9;6;15;550.213114754098;8;34;10
115;2;6;0;4;4;1;9;9;1
116;1;4;0;2;2;1;8;8;1
117;1;1;0;2;2;1;9;9;1
118;2;3;17;10;27;55.8484848484849;8;37;18
119;1;1;8;11;19;88;9;19;9
120;2;3;5;12;17;32;7;14;6
121;1;4;6;9;15;81.75;9;27;7
122;1;3;0;5;5;1;9;9;1
123;2;5;0;5;5;1;9;9;1
124;1;3;30;36;66;93.1012658227848;9;43;31
125;1;1;3;4;7;150.333333333333;9;45;4
126;2;1;0;4;4;1;9;9;1
127;1;4;18;20;38;113.222222222222;8;90;19
128;2;5;71;66;137;96.2097378277154;9;44;72
129;1;3;1;4;5;2.5;6;6;2
130;2;2;0;1;1;1;9;9;1
131;1;2;30;21;51;87.6511627906977;9;32;31
132;2;2;19;29;48;113.764705882353;7;50;20
133;1;5;2;2;4;41.2;9;9;3
134;2;2;2;6;8;80;9;16;3
135;2;5;8;20;28;53.7857142857143;9;56;9
136;1;1;0;3;3;1;9;9;1
137;1;3;1;2;3;14.6666666666667;7;7;2
138;1;4;0;2;2;1;7;7;1
139;2;5;0;1;1;1;9;9;1
140;2;4;14;14;28;152.647058823529;9;20;15
141;1;4;0;5;5;1;3;3;1
142;1;3;26;29;55;168.076923076923;6;40;27
143;2;3;31;15;46;64.4583333333333;9;43;32
144;2;3;75;63;138;210.790476190476;6;37;76
145;2;1;23;8;31;65.5245901639344;9;38;24
146;1;6;9;4;13;103.869565217391;9;43;10
147;1;1;4;7;11;57.6666666666667;10;21;5
148;2;2;0;3;3;1;7;7;1
149;2;2;3;17;20;105.375;7;34;4
150;1;2;0;1;1;1;10;10;1
151;2;2;8;8;16;31.6;9;28;9
152;2;2;8;13;21;105.305084745763;9;38;9
153;1;4;0;1;1;1;10;10;1
154;2;4;6;19;25;22.375;9;23;7
155;1;4;13;20;33;211.08;7;41;14
156;1;2;0;2;2;1;8;8;1
157;2;3;0;6;6;1;10;10;1
158;2;2;0;4;4;1;9;9;1
159;1;2;0;1;1;1;10;10;1
160;1;1;10;6;16;85.7647058823529;10;77;11
161;1;1;12;11;23;90.8875;10;34;13
162;1;4;5;7;12;245.166666666667;7;29;6
163;1;2;14;13;27;94.9130434782609;9;48;15
164;1;2;5;7;12;11;10;11;6
165;2;2;0;3;3;1;10;10;1
166;2;4;1;7;8;13.5;10;10;2
167;2;3;3;6;9;152.6;10;82;4
168;2;2;4;12;16;38.5714285714286;9;19;5
169;2;3;0;1;1;1;10;10;1
170;1;3;0;1;1;1;10;10;1
171;1;3;1;1;2;5.5;8;8;2
172;1;4;27;26;53;129.604651162791;8;46;28
173;2;2;8;14;22;91.0909090909091;6;32;9
174;1;5;9;14;23;118.318181818182;8;44;10
175;2;2;13;40;53;417.987654320988;10;43;14
176;1;4;115;45;160;60.6542553191489;10;29;116
177;2;2;5;14;19;208.714285714286;11;22;6
178;1;5;0;1;1;1;7;7;1
179;1;3;0;2;2;1;10;10;1
180;2;2;7;9;16;147.25;11;133;8
181;1;2;22;19;41;150.407407407407;11;28;23
182;1;2;0;3;3;1;8;8;1
183;2;2;13;10;23;32.3333333333333;7;25;14
184;1;3;7;17;24;62.4666666666667;11;23;8
185;1;3;6;12;18;39.7142857142857;11;11;7
186;1;2;1;3;4;6.5;11;11;2
187;1;1;3;1;4;58.625;10;191;4
188;2;3;0;4;4;1;11;11;1
189;1;6;36;10;46;210.664335664336;9;36;37
190;2;4;2;8;10;53.3333333333333;11;11;3
191;1;2;35;45;80;132.52427184466;11;35;36
192;2;1;0;4;4;1;11;11;1
193;1;4;55;39;94;201.592039800995;9;59;56
194;2;3;139;97;236;96.0933333333333;11;32;140
195;1;3;0;3;3;1;9;9;1
196;1;3;0;1;1;1;11;11;1
197;1;3;0;1;1;1;11;11;1
198;1;6;7;8;15;223.5;11;57;8
199;1;3;59;43;102;170.834710743802;11;41;60
200;1;4;0;1;1;1;11;11;1
201;1;4;8;10;18;46.5;11;33;9
202;1;5;0;3;3;1;11;11;1
203;1;5;3;5;8;117.8;11;27;4
204;2;3;78;25;103;86.3762376237624;10;36;79
205;1;4;1;1;2;180.5;10;10;2
206;1;3;1;1;2;5.5;8;8;2
207;2;3;0;1;1;1;9;9;1
208;1;4;0;1;1;1;10;10;1
209;1;1;23;28;51;79.9722222222222;11;37;24
210;1;6;0;2;2;1;9;9;1
211;1;6;28;20;48;95.0967741935484;7;35;29
212;2;1;73;63;136;119.872204472843;10;28;74
213;1;6;0;1;1;1;10;10;1
214;1;6;38;21;59;72.1234567901235;11;33;39
215;2;6;3;8;11;32.6666666666667;11;11;4
216;1;1;0;3;3;1;11;11;1
217;1;2;0;1;1;1;11;11;1
218;1;2;0;1;1;1;11;11;1
219;2;2;7;6;13;105;7;51;8
220;2;2;41;27;68;116.345323741007;8;36;42
221;1;4;12;23;35;122.809523809524;11;50;13
222;1;3;1;7;8;53.3333333333333;11;11;2
223;1;4;0;4;4;1;11;11;1
224;1;4;23;30;53;275.934426229508;6;54;24
225;1;5;4;2;6;93.3333333333333;9;41;5
226;1;1;1;4;5;45.5;11;11;2
227;1;4;3;1;4;144.75;11;12;4
228;1;4;23;24;47;348.090909090909;11;32;24
229;1;5;1;0;1;17;7;7;2
230;1;2;0;1;1;1;9;9;1
231;1;2;0;1;1;1;11;11;1
232;1;3;1;2;3;247;7;7;2
233;2;3;20;28;48;187.517647058824;10;88;21
234;1;4;31;25;56;259.225352112676;10;60;32
235;2;1;3;2;5;27.1666666666667;11;14;4
236;1;1;14;29;43;103.166666666667;11;18;15
237;1;4;4;4;8;34.2;9;14;5
238;1;4;0;3;3;1;7;7;1
239;2;1;7;9;16;26.3157894736842;12;26;8
240;1;4;0;1;1;1;6;6;1
241;1;1;2;6;8;80.1666666666667;11;17;3
242;1;2;29;38;67;81.5555555555556;10;36;30
243;1;4;1;4;5;60.5;12;12;2
244;2;3;6;7;13;321.964285714286;11;24;7
245;2;2;20;16;36;53.3428571428571;12;41;21
246;1;6;0;1;1;1;12;12;1
247;1;3;1;2;3;4;12;12;2
248;1;3;5;9;14;26.875;12;15;6
249;1;3;168;97;265;77.4797570850202;12;79;169
250;1;1;53;42;95;68.2357723577236;6;34;54
251;2;4;0;4;4;1;12;12;1
252;1;1;40;46;86;41.078125;12;34;41
253;1;5;0;1;1;1;12;12;1
254;1;1;57;66;123;69.8457943925234;12;42;58
255;1;6;1;1;2;2.5;7;7;2
256;2;1;5;21;26;77.875;12;22;6
257;1;2;20;13;33;166;12;44;21
258;1;5;1;1;2;399.666666666667;12;12;2
259;1;2;12;8;20;157.333333333333;12;21;13
260;2;2;33;48;81;161.631578947368;12;28;34
261;1;2;4;3;7;208.458333333333;10;42;5
262;2;3;0;2;2;1;12;12;1
263;1;1;51;55;106;113.564935064935;10;23;52
264;1;4;1;1;2;15;12;12;2
265;2;6;0;9;9;1;12;12;1
266;1;1;68;11;79;39.0128205128205;10;21;69
267;2;1;3;5;8;19.6;12;12;4
268;1;1;1;0;1;22.5;12;12;2
269;1;4;3;6;9;61;12;36;4
270;2;1;0;5;5;1;12;12;1
271;1;3;8;11;19;123.222222222222;9;48;9
272;1;1;21;20;41;68.5294117647059;12;37;22
273;1;1;3;5;8;56.5;13;17;4
274;1;5;17;12;29;41.4705882352941;12;21;18
275;2;2;1;1;2;10;6;6;2
276;1;5;12;10;22;144.380952380952;10;48;13
277;2;2;85;61;146;106.326666666667;13;34;86
278;1;3;9;21;30;95.6153846153846;10;41;10
279;1;3;0;2;2;1;12;12;1
280;1;3;1;3;4;25;12;12;2
281;1;2;31;40;71;207.478873239437;12;56;32
282;1;3;18;18;36;568.981481481482;12;51;19
283;1;3;31;32;63;107.641025641026;13;39;32
284;2;2;0;5;5;1;13;13;1
285;1;1;9;17;26;59.9333333333333;9;42;10
286;2;4;12;8;20;182.714285714286;8;21;13
287;1;1;0;1;1;1;13;13;1
288;2;2;15;26;41;116.184210526316;13;36;16
289;1;2;40;40;80;69.3305785123967;10;20;41
290;1;3;4;4;8;52.8;13;36;5
291;1;1;7;11;18;21.9090909090909;13;28;8
292;1;4;0;2;2;1;13;13;1
293;1;4;0;3;3;1;12;12;1
294;2;4;15;14;29;64.325;8;27;16
295;1;3;1;4;5;16.5;13;13;2
296;1;3;29;35;64;115.152777777778;13;35;30
297;2;2;69;69;138;70.9723926380368;12;36;70
298;1;3;14;18;32;92.8196721311475;13;53;15
299;1;1;11;31;42;104.090909090909;13;23;12
300;1;2;7;10;17;60.8888888888889;13;21;8
301;1;3;1;1;2;27;9;9;2
302;2;3;40;47;87;184.25;7;37;41
303;1;3;19;19;38;87.7818181818182;13;51;20
304;2;3;1;4;5;140.5;13;13;2
305;1;1;4;6;10;126.857142857143;13;20;5
306;2;1;41;47;88;74.8472222222222;13;42;42
307;2;1;16;10;26;97.328125;13;29;17
308;1;1;84;81;165;75.5824742268041;13;34;85
309;1;1;36;41;77;69.4705882352941;13;41;37
310;1;1;3;1;4;198.666666666667;13;15;4
311;2;1;12;30;42;79.8888888888889;13;28;13
312;1;3;9;13;22;180.211538461538;11;83;10
313;2;1;10;14;24;199.175;13;24;11
314;2;1;24;25;49;151.970149253731;13;34;25
315;2;1;6;18;24;110.416666666667;13;45;7
316;2;2;18;32;50;151.008403361345;13;23;19
317;1;1;51;45;96;58.427027027027;13;44;52
318;2;1;17;23;40;55.6363636363636;13;50;18
319;2;2;14;18;32;108.7;13;52;15
320;1;3;0;1;1;1;9;9;1
321;1;2;105;31;136;38.7010676156584;13;20;106
322;1;3;6;11;17;260.818181818182;14;45;7
323;2;1;96;57;153;68.8114511352419;13;37;97
324;2;1;5;9;14;55.1666666666667;14;14;6
325;1;2;76;77;153;91.8779342723005;13;31;77
326;1;1;5;7;12;42.75;7;47;6
327;1;4;15;8;23;38.9444444444444;7;33;16
328;1;3;2;5;7;23;9;14;3
329;1;6;8;10;18;64.8947368421053;14;48;9
330;1;3;0;1;1;1;13;13;1
331;2;5;0;2;2;1;14;14;1
332;1;1;12;17;29;40.8979591836735;13;29;13
333;1;1;7;12;19;79.9375;13;40;8
334;1;3;20;10;30;62.8863636363636;8;41;21
335;2;2;18;10;28;131.734939759036;14;16;19
336;1;4;6;4;10;81.5;14;19;7
337;1;2;39;41;80;105.467391304348;14;44;40
338;1;1;15;13;28;120.714285714286;14;33;16
339;1;3;28;24;52;229.219512195122;13;37;29
340;1;3;2;6;8;49.5;14;15;3
341;1;1;32;40;72;99.3636363636364;13;44;33
342;1;3;61;33;94;135.953051643192;9;44;62
343;2;2;15;33;48;196.55;14;23;16
344;2;5;8;8;16;183.428571428571;10;17;9
345;2;1;13;7;20;76.08;14;26;14
346;1;2;29;37;66;107.3125;14;48;30
347;1;1;1;3;4;1.5;14;14;2
348;2;1;1;3;4;5.5;14;14;2
349;1;1;10;23;33;68.0625;12;21;11
350;1;1;29;13;42;70.1263157894737;14;36;30
351;1;4;5;5;10;128.875;14;21;6
352;1;1;8;21;29;57.9230769230769;14;43;9
353;2;2;28;38;66;185.507462686567;14;43;29
354;2;1;2;4;6;147.6;9;42;3
355;2;4;7;16;23;310.1;14;21;8
356;1;3;14;16;30;127.782608695652;14;43;15
357;1;4;135;40;175;30.5608108108108;14;50;136
358;1;2;15;24;39;79.5483870967742;14;45;16
359;1;2;3;8;11;77.2666666666667;14;17;4
360;2;2;0;3;3;1;14;14;1
361;1;1;21;12;33;196.777777777778;14;61;22
362;1;1;4;7;11;15.2;14;47;5
363;1;1;6;3;9;105.714285714286;12;19;7
364;2;1;9;12;21;243.571428571429;14;23;10
365;2;1;9;27;36;44;14;19;10
366;2;1;5;6;11;76.8;14;47;6
367;1;2;17;18;35;83.1518987341772;6;44;18
368;1;1;37;51;88;111.885416666667;15;20;38
369;1;2;0;1;1;1;15;15;1
370;1;1;6;7;13;65.4285714285714;14;37;7
371;2;2;11;27;38;130.866666666667;15;23;12
372;1;2;121;115;236;72.5884773662551;14;41;122
373;1;1;5;12;17;56.8421052631579;14;29;6
374;1;3;1;6;7;4;15;15;2
375;2;3;15;26;41;76.1785714285714;15;40;16
376;2;2;14;21;35;37.7083333333333;15;23;15
377;2;1;42;11;53;95.6117647058824;14;36;43
378;2;1;21;29;50;62.1544715447154;15;35;22
379;2;1;14;20;34;100.225806451613;15;28;15
380;2;1;0;3;3;1;15;15;1
381;2;2;0;2;2;1;15;15;1
382;2;1;0;3;3;1;14;14;1
383;1;3;0;2;2;1;15;15;1
384;1;1;2;2;4;25.6666666666667;15;15;3
385;1;4;5;5;10;99.625;8;22;6
386;2;1;9;22;31;91.05;15;20;10
387;1;1;3;4;7;93.7142857142857;15;23;4
388;1;1;24;30;54;85.7878787878788;6;28;25
389;2;1;58;58;116;94.0913705583756;15;41;59
390;2;5;1;2;3;18;15;15;2
391;2;1;18;26;44;54.4285714285714;14;29;19
392;2;1;30;32;62;151.594059405941;15;40;31
393;2;2;33;51;84;84.6194690265487;15;57;34
394;2;1;27;33;60;189.611111111111;13;43;28
395;1;3;4;3;7;191.25;9;16;5
396;2;1;19;37;56;91.4516129032258;15;22;20
397;1;6;0;1;1;1;15;15;1
398;1;2;68;41;109;78.8469387755102;13;44;69
399;1;3;12;6;18;68.5;9;15;13
400;1;3;217;92;309;127.031531531532;15;25;218
401;1;1;4;6;10;87.4444444444444;14;22;5
402;2;1;14;23;37;94.5862068965517;15;34;15
403;1;3;5;5;10;300.333333333333;6;28;6
404;1;1;5;9;14;187.454545454545;15;21;6
405;2;1;13;23;36;63.7837837837838;15;33;14
406;1;3;0;2;2;1;6;6;1
407;2;1;9;13;22;38.85;15;28;10
408;2;2;8;14;22;92.3636363636364;15;37;9
409;2;4;24;14;38;39.0212765957447;15;22;25
410;2;2;1;5;6;58.5;15;15;2
411;2;2;0;3;3;1;15;15;1
412;1;4;0;1;1;1;15;15;1
413;1;1;8;16;24;166;15;21;9
414;1;4;3;2;5;54.5;15;20;4
415;1;3;28;26;54;103;7;61;29
416;1;1;1;4;5;276.5;16;16;2
417;1;2;0;2;2;1;16;16;1
418;1;4;13;12;25;61.75;12;29;14
419;2;4;0;9;9;1;16;16;1
420;2;3;0;4;4;1;16;16;1
421;1;1;6;5;11;34.7777777777778;15;49;7
422;1;1;31;24;55;70.1375;10;32;32
423;1;3;30;8;38;45.58;15;55;31
424;1;1;8;4;12;90.8;16;16;9
425;1;1;10;9;19;37.4285714285714;15;38;11
426;1;3;1;1;2;15;13;13;2
427;1;3;2;2;4;42.6666666666667;15;20;3
428;1;4;1;3;4;192;16;16;2
429;2;2;26;33;59;125.59756097561;16;87;27
430;1;3;23;12;35;21.8484848484848;16;82;24
431;1;2;75;35;110;117.460154241645;6;109;76
432;1;2;3;5;8;56.6;16;17;4
433;1;1;1;2;3;73;16;16;2
434;2;1;1;2;3;20;16;16;2
435;2;1;2;1;3;18.6666666666667;15;16;3
436;2;2;0;3;3;1;14;14;1
437;2;2;7;48;55;158.677419354839;16;30;8
438;1;4;5;15;20;52.9;16;56;6
439;2;1;20;23;43;94.3529411764706;14;31;21
440;1;3;15;20;35;70.7096774193548;16;36;16
441;2;4;2;5;7;33.8;16;16;3
442;1;5;10;8;18;103.923076923077;16;48;11
443;2;2;9;8;17;52.5;16;82;10
444;2;1;0;1;1;1;16;16;1
445;2;3;4;13;17;41.4545454545455;16;27;5
446;2;4;0;2;2;1;16;16;1
447;2;2;32;18;50;107.676923076923;16;53;33
448;1;1;40;27;67;87.8421052631579;15;27;41
449;2;2;11;22;33;98.0625;16;34;12
450;1;3;0;3;3;1;16;16;1
451;2;2;2;7;9;4.5;12;16;3
452;2;1;0;8;8;1;16;16;1
453;1;3;3;4;7;90.4;16;17;4
454;2;4;43;55;98;71.2675438596491;15;40;44
455;1;4;0;1;1;1;16;16;1
456;1;5;36;43;79;219.911392405063;16;78;37
457;2;1;1;3;4;27;14;14;2
458;1;3;0;1;1;1;16;16;1
459;2;1;0;2;2;1;16;16;1
460;2;2;14;39;53;137.477272727273;16;30;15
461;1;1;1;2;3;9;16;16;2
462;1;4;24;21;45;137.166666666667;16;33;25
463;2;1;26;36;62;76.2771084337349;16;35;27
464;2;1;0;7;7;1;16;16;1
465;1;2;6;8;14;226.533333333333;16;36;7
